Date,BACS,BARANYA,BEKES,BORSOD,BUDAPEST,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
2006-02-06,42,23,23,119,158,40,15,42,81,21,57,38,33,104,82,40,48,56,157,48
2006-02-13,70,25,16,108,182,121,22,59,40,10,47,28,23,119,145,54,93,53,155,85
2006-02-20,48,50,38,119,136,102,42,60,69,34,81,23,24,170,120,21,66,75,221,60
2006-02-27,52,51,16,112,207,85,44,82,95,19,74,53,45,140,120,64,55,82,180,76
2006-03-06,53,58,32,89,251,118,38,78,44,24,74,29,39,181,123,58,66,102,161,37
2006-03-13,59,62,40,61,141,85,42,33,50,30,102,34,47,149,101,38,47,71,221,58
2006-03-20,109,78,35,82,193,91,44,87,48,50,137,34,52,160,70,31,96,110,210,39
2006-03-27,69,48,26,68,169,131,58,49,56,12,82,36,49,161,47,8,85,81,230,81
2006-04-03,97,66,41,68,141,91,56,59,35,18,80,61,53,168,155,81,73,40,130,36
2006-04-10,55,30,41,62,193,152,64,52,35,28,104,45,37,153,43,81,86,34,192,42
2006-04-17,75,57,75,23,359,108,29,71,18,16,113,59,40,157,46,71,58,53,97,45
2006-04-24,97,139,44,97,268,165,103,76,34,23,104,54,37,221,81,95,82,71,190,22
2006-05-01,86,56,52,44,168,107,26,65,25,37,108,44,32,165,22,67,58,24,79,74
2006-05-08,59,68,31,44,338,82,57,68,32,25,89,30,50,121,42,83,85,21,133,62
2006-05-15,49,38,39,49,186,68,39,54,37,30,45,70,22,126,28,73,62,42,62,67
2006-05-22,34,72,14,22,266,149,66,69,34,22,120,38,58,143,22,48,92,24,136,30
2006-05-29,118,78,106,59,240,109,26,51,25,34,82,87,31,151,35,63,58,36,54,51
2006-06-05,55,60,23,15,162,118,30,85,44,28,34,25,30,105,14,30,51,18,58,37
2006-06-12,80,60,47,15,264,99,47,70,61,44,68,88,57,145,28,45,25,35,47,40
2006-06-19,65,51,23,65,133,51,32,66,54,26,64,51,50,134,19,41,118,34,39,31
2006-06-26,56,63,43,8,201,26,39,63,30,43,52,46,27,130,28,55,84,24,35,12
2006-07-03,25,70,5,50,236,27,22,118,72,19,23,41,14,89,19,37,26,24,34,26
2006-07-10,25,21,6,28,111,32,8,24,17,11,24,15,5,49,7,17,11,9,7,20
2006-07-17,16,54,12,17,76,3,6,29,22,6,2,8,7,24,9,17,23,13,7,9
2006-07-24,7,19,4,8,52,16,2,23,4,6,3,1,4,29,3,12,9,5,4,6
2006-07-31,3,5,4,4,30,11,0,12,14,2,8,7,5,15,4,3,5,1,4,1
2006-08-07,1,16,4,6,30,9,4,4,13,3,6,12,3,4,6,2,5,3,1,0
2006-08-14,4,1,4,5,74,1,1,2,1,4,1,2,1,6,1,9,0,1,2,0
2006-08-21,0,5,8,3,45,2,2,2,2,1,1,4,0,4,2,1,0,0,0,0
2006-08-28,0,1,2,2,41,6,2,2,2,4,0,0,2,17,2,2,0,0,3,2
2006-09-04,2,5,4,1,20,5,2,1,1,3,1,4,2,1,4,3,1,2,2,0
2006-09-11,1,3,5,4,15,0,0,1,3,4,2,6,2,4,1,5,0,1,2,2
2006-09-18,0,7,1,3,11,3,6,3,3,2,7,4,2,7,1,6,1,1,5,1
2006-09-25,4,3,5,12,10,1,2,7,8,9,10,8,9,12,6,10,3,2,1,3
2006-10-02,3,6,11,11,9,9,6,5,7,2,12,3,12,8,3,7,2,0,3,10
2006-10-09,2,1,3,16,35,4,0,9,16,11,15,13,19,29,6,6,5,7,7,10
2006-10-16,9,4,6,24,20,11,7,7,16,13,27,4,4,29,8,24,2,1,4,4
2006-10-23,10,3,7,16,19,19,25,8,31,7,17,5,17,23,4,13,0,4,10,12
2006-10-30,18,9,8,6,51,7,20,11,46,25,33,9,7,46,5,14,1,5,1,6
2006-11-06,19,16,21,39,53,20,37,9,22,28,53,11,15,47,7,42,1,4,15,18
2006-11-13,39,15,18,33,77,17,24,12,42,36,44,4,18,71,38,14,4,9,13,13
2006-11-20,14,24,20,39,62,18,50,13,16,56,41,7,62,94,15,7,8,29,10,16
2006-11-27,26,17,25,10,93,7,61,31,57,54,55,14,41,127,55,46,10,12,19,11
2006-12-04,28,24,24,37,78,39,101,31,33,50,59,6,59,99,49,21,7,23,29,32
2006-12-11,10,52,34,22,82,31,79,35,44,68,42,22,8,103,51,16,11,30,32,35
2006-12-18,44,53,33,31,84,11,40,41,36,105,59,11,46,125,87,5,18,9,43,32
2006-12-25,24,21,46,15,58,30,43,35,32,82,20,4,1,68,25,1,13,1,48,24
2007-01-01,24,39,76,25,114,28,97,65,71,138,65,13,30,179,82,1,17,13,47,42
2007-01-08,56,63,35,61,145,98,66,59,65,210,72,42,106,205,84,53,17,59,59,63
2007-01-15,46,38,93,160,93,21,26,56,55,103,36,10,56,118,37,38,12,34,29,36
2007-01-22,46,50,125,44,129,38,116,67,40,151,50,24,64,155,56,46,36,5,48,67
2007-01-29,55,55,155,71,114,48,54,66,45,110,45,34,46,175,66,61,14,21,73,54
2007-02-05,39,49,75,125,86,22,36,58,63,126,78,34,36,135,65,125,37,15,118,70
2007-02-12,73,58,114,52,127,26,36,74,26,116,126,28,60,86,60,33,29,36,64,35
2007-02-19,37,62,117,144,106,89,90,87,85,147,81,29,96,224,71,57,39,56,122,45
2007-02-26,40,79,87,96,211,40,49,71,50,150,93,59,38,211,63,37,23,60,59,29
2007-03-05,77,53,86,107,229,67,93,116,39,173,111,48,112,214,49,46,36,36,85,42
2007-03-12,22,65,64,110,145,25,31,63,56,74,56,25,47,136,22,26,28,7,92,24
2007-03-19,89,109,140,72,210,105,88,128,66,184,109,35,108,279,55,74,6,55,101,39
2007-03-26,61,90,163,96,267,89,85,107,94,111,80,90,77,255,54,37,38,59,76,64
2007-04-02,69,68,66,138,166,21,66,90,83,86,54,70,30,209,37,26,21,39,107,27
2007-04-09,59,89,58,114,168,77,57,92,44,111,58,74,43,160,31,30,12,21,76,42
2007-04-16,63,121,84,284,350,86,78,106,80,146,53,32,71,290,63,80,73,54,98,44
2007-04-23,60,41,111,157,224,29,72,94,69,85,27,50,106,204,19,43,59,22,75,51
2007-04-30,66,60,23,88,136,46,20,60,15,18,12,18,76,105,22,70,10,11,42,37
2007-05-07,91,137,53,23,278,70,59,110,129,142,83,46,107,257,30,65,79,29,90,45
2007-05-14,145,118,61,93,161,103,46,123,76,67,54,75,88,210,30,72,35,21,69,54
2007-05-21,75,141,87,174,385,90,63,108,119,101,65,59,73,198,47,39,73,10,84,49
2007-05-28,91,38,76,82,230,30,36,113,113,40,26,55,68,149,26,76,56,8,54,32
2007-06-04,79,116,62,161,284,58,61,56,150,92,45,54,100,220,29,113,51,17,55,32
2007-06-11,65,75,80,129,210,47,13,57,120,40,11,56,59,125,25,14,22,7,32,16
2007-06-18,47,73,18,34,125,61,13,61,75,25,9,21,25,131,29,28,20,8,71,11
2007-06-25,67,34,16,68,104,39,29,49,73,15,20,26,21,101,15,24,13,4,18,12
2007-07-02,23,25,29,80,140,21,10,24,47,15,6,11,18,65,14,10,11,3,15,9
2007-07-09,16,21,27,33,99,3,6,27,33,14,8,10,11,30,9,14,11,3,19,0
2007-07-16,19,8,90,33,35,5,5,7,14,2,7,11,6,29,8,1,10,1,6,0
2007-07-23,19,17,2,30,14,15,3,5,9,9,12,18,8,19,2,14,4,2,6,0
2007-07-30,6,9,3,14,34,14,0,4,13,2,8,2,3,9,2,4,5,1,5,2
2007-08-06,5,4,2,7,7,3,0,33,2,1,2,2,1,7,1,9,2,0,5,0
2007-08-13,6,1,0,21,7,2,2,7,4,6,3,1,1,5,2,0,0,1,4,0
2007-08-20,1,1,3,4,4,1,0,4,4,0,3,0,0,3,5,1,0,0,2,3
2007-08-27,2,1,1,8,4,1,2,6,4,0,4,2,0,19,1,1,4,3,0,0
2007-09-03,4,4,2,14,10,0,3,2,1,3,2,3,0,1,2,1,4,0,0,0
2007-09-10,2,1,2,3,6,0,3,3,1,3,0,1,4,2,0,0,0,1,4,1
2007-09-17,2,4,1,5,6,0,5,3,3,3,0,2,3,6,0,1,4,0,0,1
2007-09-24,4,11,2,8,12,6,9,5,6,1,1,13,2,10,3,3,7,1,5,0
2007-10-01,6,5,11,11,20,2,12,4,11,2,4,2,0,31,1,5,13,1,5,0
2007-10-08,12,13,12,38,14,6,16,13,15,1,3,15,7,34,2,55,8,2,3,6
2007-10-15,20,10,19,50,33,6,13,22,33,3,6,16,12,32,3,17,8,3,12,8
2007-10-22,34,14,13,20,20,7,6,12,42,1,5,10,9,33,7,4,13,0,18,4
2007-10-29,9,9,20,25,25,0,4,6,37,4,1,2,19,28,2,44,8,0,18,7
2007-11-05,48,20,37,63,93,9,26,30,58,1,2,11,29,91,15,31,19,7,25,21
2007-11-12,34,22,41,49,72,10,25,22,63,1,6,4,27,95,20,35,38,3,38,20
2007-11-19,29,21,37,70,54,1,17,32,34,7,6,24,11,83,7,64,14,2,15,10
2007-11-26,40,50,37,74,175,24,44,27,67,37,14,15,32,99,40,47,24,5,29,13
2007-12-03,36,34,33,54,126,10,46,35,82,23,14,55,33,78,28,17,14,3,39,18
2007-12-10,52,27,30,51,60,2,71,42,155,27,26,22,25,108,66,77,10,0,27,15
2007-12-17,38,36,60,82,193,4,40,86,96,12,19,48,14,82,44,28,8,5,51,11
2007-12-24,31,15,3,34,68,2,59,43,106,23,35,15,0,46,6,170,9,3,38,13
2007-12-31,57,41,138,126,183,7,42,32,22,11,35,78,21,167,50,69,10,3,37,12
2008-01-07,34,68,86,143,156,15,124,68,22,46,38,70,39,197,45,110,10,1,29,13
2008-01-14,95,76,57,202,479,31,76,137,214,73,38,160,74,431,113,203,27,8,131,21
2008-01-21,71,50,94,209,143,11,37,33,80,15,57,28,34,87,24,82,4,0,37,11
2008-01-28,48,20,129,61,193,15,55,43,73,16,26,34,8,143,26,71,6,7,48,13
2008-02-04,18,24,50,104,105,27,43,47,38,7,31,47,25,114,33,93,12,0,32,1
2008-02-11,17,33,12,62,136,20,73,41,39,35,30,27,4,90,24,58,11,6,27,5
2008-02-18,52,39,9,66,91,15,102,49,114,37,38,27,21,109,42,70,11,7,26,5
2008-02-25,26,46,8,76,150,26,105,35,48,37,50,15,26,146,40,73,10,14,25,22
2008-03-03,70,42,21,85,82,26,73,69,71,18,45,26,49,95,40,51,9,3,53,11
2008-03-10,32,50,105,78,64,18,84,53,40,20,56,39,25,98,24,69,15,5,50,18
2008-03-17,50,31,34,55,100,31,84,150,85,17,31,47,69,108,12,78,8,6,52,18
2008-03-24,18,78,18,127,95,15,104,87,52,27,51,26,19,123,42,49,10,3,48,10
2008-03-31,44,64,71,64,136,48,130,160,93,44,86,60,55,114,30,55,24,2,52,21
2008-04-07,65,78,37,42,80,8,122,102,47,51,39,28,26,76,32,66,12,10,38,4
2008-04-14,51,42,58,119,122,41,101,73,75,23,104,31,37,156,10,60,15,7,47,22
2008-04-21,134,60,47,101,117,90,164,106,62,55,80,14,39,115,57,46,52,10,54,14
2008-04-28,18,19,31,36,84,14,49,40,49,20,9,82,4,45,11,14,24,10,16,1
2008-05-05,69,93,57,108,133,41,123,97,69,97,114,23,33,70,39,115,28,31,65,11
2008-05-12,111,63,35,64,62,4,55,49,59,26,69,31,17,50,32,43,34,1,21,19
2008-05-19,70,103,59,91,211,109,98,98,86,110,58,72,42,85,97,23,34,9,82,14
2008-05-26,81,77,24,55,143,89,134,68,130,76,50,60,11,71,46,50,40,42,33,7
2008-06-02,34,145,66,127,128,53,63,74,92,49,83,30,23,129,19,63,37,10,40,12
2008-06-09,51,96,12,70,105,23,78,85,112,24,39,65,15,70,63,15,90,41,29,7
2008-06-16,31,69,30,56,140,43,43,40,68,21,46,55,7,50,21,30,25,18,29,2
2008-06-23,34,35,11,69,51,43,45,43,53,29,43,58,8,93,28,13,31,20,25,10
2008-06-30,15,68,0,21,70,32,30,28,51,5,19,34,10,47,14,4,7,18,15,5
2008-07-07,17,14,18,13,46,11,16,16,53,14,46,23,13,50,14,14,22,18,23,1
2008-07-14,9,8,13,36,17,16,8,23,41,8,17,18,3,18,9,33,29,8,6,13
2008-07-21,10,17,7,18,21,11,3,12,4,7,91,18,11,3,9,10,6,12,11,1
2008-07-28,5,4,0,8,51,9,14,17,5,7,10,8,4,15,6,1,13,7,4,3
2008-08-04,7,2,2,11,22,1,4,12,4,3,5,10,3,11,3,18,1,9,5,3
2008-08-11,5,1,6,13,11,1,5,8,5,2,4,2,4,4,8,18,7,2,4,1
2008-08-18,1,0,1,4,3,1,1,4,1,2,1,4,0,4,1,1,1,3,2,0
2008-08-25,2,2,1,6,10,1,0,5,0,1,1,2,0,3,0,0,2,2,8,3
2008-09-01,2,1,4,2,4,1,2,1,2,2,3,2,0,3,0,1,5,0,4,2
2008-09-08,8,0,2,4,3,0,1,0,3,0,1,0,0,4,3,1,0,9,3,5
2008-09-15,5,0,1,6,9,6,1,6,1,1,0,3,1,15,1,1,8,0,13,1
2008-09-22,9,1,3,7,14,3,2,0,5,1,4,7,2,6,3,1,5,3,16,9
2008-09-29,9,4,0,21,12,5,1,2,1,4,6,6,4,12,1,1,4,6,19,5
2008-10-06,34,2,10,33,22,25,4,9,8,9,9,12,6,15,3,7,3,24,45,0
2008-10-13,20,4,16,53,43,17,15,13,9,14,18,14,9,27,8,3,4,14,47,5
2008-10-20,0,3,3,3,27,17,6,17,5,9,16,2,14,34,7,4,5,32,30,25
2008-10-27,72,7,11,41,67,17,8,19,13,6,23,1,15,23,10,9,1,15,45,4
2008-11-03,25,9,4,45,78,16,5,33,15,9,35,24,19,30,10,8,18,3,50,30
2008-11-10,19,13,24,52,61,22,4,22,24,6,31,12,17,45,10,5,10,15,44,2
2008-11-17,35,8,4,39,62,32,8,35,16,3,24,6,60,15,12,15,25,1,37,22
2008-11-24,17,29,34,56,40,27,6,41,14,38,39,11,44,48,15,11,17,41,36,5
2008-12-01,23,17,19,34,98,19,9,55,28,13,18,23,34,41,15,23,16,13,42,4
2008-12-08,14,20,42,108,110,14,17,54,26,29,94,12,52,35,69,41,12,8,35,49
2008-12-15,20,42,37,65,142,49,14,78,40,27,65,52,53,70,40,73,16,40,71,17
2008-12-22,3,20,20,14,53,13,2,29,14,13,35,9,3,13,19,12,3,36,53,13
2008-12-29,1,18,8,32,39,0,2,67,28,13,55,9,44,65,12,48,16,0,27,10
2009-01-05,58,42,57,69,304,57,18,136,81,36,144,63,86,125,103,17,56,141,123,24
2009-01-12,66,23,44,355,300,79,18,68,62,36,97,26,35,143,77,74,14,65,26,10
2009-01-19,40,49,9,112,115,31,13,51,21,22,51,50,58,75,42,13,13,52,37,8
2009-01-26,44,62,53,100,176,46,5,56,67,48,65,27,65,107,54,74,13,42,61,23
2009-02-02,25,41,23,71,176,70,14,44,83,30,42,19,49,102,102,26,29,77,45,15
2009-02-09,42,57,25,64,157,67,11,73,78,51,91,39,43,103,57,86,44,31,103,13
2009-02-16,64,47,57,74,188,77,8,45,97,49,86,46,45,142,87,39,44,45,43,6
2009-02-23,55,94,75,71,128,42,34,79,117,79,89,53,59,125,60,88,66,135,65,55
2009-03-02,46,73,35,97,165,65,3,50,119,52,85,58,58,124,66,32,43,99,49,22
2009-03-09,51,59,64,125,129,45,13,68,50,51,104,48,38,161,26,162,70,75,57,17
2009-03-16,38,52,65,67,197,87,16,68,92,49,67,24,87,173,31,47,105,54,59,5
2009-03-23,46,22,34,65,129,148,34,85,102,49,72,55,34,155,40,62,21,87,69,5
2009-03-30,41,113,29,55,217,199,31,35,88,95,76,75,64,168,65,75,50,108,37,51
2009-04-06,53,45,16,74,109,102,54,124,89,19,107,28,40,35,38,44,39,54,32,14
2009-04-13,42,68,39,219,212,111,37,34,71,53,43,32,23,120,58,93,51,53,41,17
2009-04-20,152,25,74,156,265,173,61,129,127,119,92,50,69,193,47,33,40,78,45,25
2009-04-27,30,46,38,73,149,52,22,42,40,53,44,31,52,159,53,61,81,81,31,82
2009-05-04,37,70,59,96,143,108,45,90,135,54,51,36,30,176,59,27,35,78,12,9
2009-05-11,72,39,56,114,165,146,35,69,118,69,42,55,20,117,68,13,71,100,76,2
2009-05-18,46,47,68,69,198,38,49,48,149,32,109,42,21,100,34,43,21,135,18,43
2009-05-25,70,20,47,123,197,93,48,51,162,38,68,65,17,138,20,47,52,29,22,52
2009-06-01,50,45,46,99,211,48,57,53,148,7,48,19,16,115,42,38,56,21,24,5
2009-06-08,40,22,55,76,177,115,28,42,262,86,67,59,25,105,18,31,49,55,13,42
2009-06-15,52,55,59,69,168,42,21,57,127,53,48,33,25,135,21,16,21,72,9,13
2009-06-22,20,41,39,36,110,62,36,48,146,46,23,38,50,182,14,8,34,53,8,4
2009-06-29,42,17,15,20,65,36,12,52,84,53,42,21,21,72,17,16,12,40,7,51
2009-07-06,0,26,14,87,104,62,11,17,117,36,30,22,12,72,6,29,9,17,8,18
2009-07-13,25,6,21,35,85,54,12,11,86,13,23,13,22,55,11,5,15,16,13,1
2009-07-20,23,3,4,6,54,34,3,12,17,21,7,6,7,41,9,6,4,5,3,21
2009-07-27,4,24,19,21,18,4,13,7,12,8,6,6,2,29,2,1,14,4,5,4
2009-08-03,5,10,3,6,16,4,0,5,6,9,3,1,1,32,4,2,4,3,3,8
2009-08-10,0,2,4,13,14,3,5,0,32,3,3,9,2,11,3,0,4,1,4,1
2009-08-17,0,1,3,4,7,3,0,6,0,4,0,1,1,1,1,1,0,0,1,4
2009-08-24,4,1,3,2,27,1,1,1,0,5,1,0,0,19,4,2,0,2,8,2
2009-08-31,0,1,5,2,16,6,1,3,0,1,3,3,2,6,0,0,0,0,2,0
2009-09-07,0,2,1,6,11,3,3,0,0,4,6,0,3,4,0,4,0,0,2,1
2009-09-14,2,0,2,6,2,1,3,4,1,1,1,2,0,13,2,2,1,0,2,1
2009-09-21,1,0,1,6,4,4,6,5,3,2,1,2,9,8,1,8,0,3,3,2
2009-09-28,6,2,0,1,7,15,4,6,3,0,4,4,2,5,5,5,3,3,4,0
2009-10-05,9,5,1,10,15,7,10,9,6,3,2,3,1,12,1,4,4,5,2,0
2009-10-12,3,6,3,3,30,33,10,6,10,0,6,7,4,20,6,5,9,4,6,3
2009-10-19,10,10,3,11,31,31,10,6,8,6,3,5,2,36,7,9,8,25,2,15
2009-10-26,12,4,13,9,25,11,10,14,32,12,15,6,0,30,2,5,10,4,8,3
2009-11-02,22,1,24,31,50,36,23,8,40,11,13,21,1,27,7,8,8,12,3,31
2009-11-09,4,3,10,22,37,10,17,10,43,16,16,24,1,30,5,1,15,16,3,13
2009-11-16,9,8,13,16,59,44,15,16,21,2,35,6,1,30,8,2,6,6,14,25
2009-11-23,25,9,14,37,58,21,46,28,26,43,33,50,4,46,22,9,19,18,10,18
2009-11-30,17,31,20,34,42,8,19,40,48,10,25,11,12,126,13,10,14,16,2,27
2009-12-07,43,38,11,69,91,21,38,33,39,26,36,35,17,96,20,19,24,13,4,55
2009-12-14,39,46,12,17,86,17,21,28,64,10,24,27,9,102,17,20,10,15,4,24
2009-12-21,3,50,11,28,41,4,15,6,19,8,32,16,6,55,8,3,21,1,0,8
2009-12-28,19,28,13,55,47,8,34,18,38,31,16,22,4,48,13,16,0,10,4,11
2010-01-04,50,37,6,43,166,53,83,31,95,30,69,26,16,88,23,1,42,20,32,26
2010-01-11,52,23,11,28,113,23,33,21,44,24,29,30,14,62,18,14,21,5,13,12
2010-01-18,20,56,11,33,62,29,40,21,46,18,27,23,13,81,9,13,8,13,11,8
2010-01-25,52,103,3,42,82,29,48,38,77,33,54,33,23,96,41,14,9,40,35,15
2010-02-01,26,50,12,59,56,4,46,43,31,40,54,22,12,99,59,22,15,35,43,2
2010-02-08,82,47,12,42,46,17,34,31,46,35,67,22,38,129,25,3,21,10,75,7
2010-02-15,87,127,9,93,48,24,31,46,63,47,112,34,11,104,39,42,38,26,29,5
2010-02-22,102,83,13,63,124,32,37,62,76,20,83,61,20,113,39,44,18,11,42,2
2010-03-01,118,101,15,35,74,12,24,38,40,41,59,22,9,128,18,77,29,4,41,7
2010-03-08,86,68,13,54,116,17,61,95,109,26,98,83,13,124,25,89,13,10,36,5
2010-03-15,96,135,17,37,120,52,51,64,113,28,68,43,11,137,1,2,14,3,41,4
2010-03-22,110,123,16,145,101,41,72,72,86,25,92,85,29,190,34,34,26,14,83,2
2010-03-29,88,112,11,85,121,55,63,93,108,24,58,55,26,148,36,30,59,13,57,16
2010-04-05,108,80,17,52,160,11,34,75,54,15,52,52,11,143,23,22,35,17,39,6
2010-04-12,96,140,28,105,199,61,101,78,94,17,53,39,26,272,23,39,73,32,118,25
2010-04-19,238,106,17,79,147,39,75,84,81,12,47,81,16,214,33,63,26,18,71,13
2010-04-26,117,116,18,40,130,19,55,70,74,5,43,49,19,191,37,22,55,18,105,15
2010-05-03,167,96,4,82,175,28,78,81,71,42,34,52,37,243,33,32,17,14,101,20
2010-05-10,62,115,27,78,156,58,56,59,93,11,28,43,20,151,23,12,47,9,133,14
2010-05-17,160,102,25,65,185,17,65,85,68,42,37,95,20,216,27,3,15,29,99,11
2010-05-24,83,17,17,54,123,2,33,59,46,18,87,37,26,145,18,3,42,7,141,30
2010-05-31,135,84,11,68,151,49,99,97,68,35,78,52,41,221,36,8,46,8,126,31
2010-06-07,94,74,8,48,150,36,46,70,49,28,120,52,17,205,55,3,39,9,102,13
2010-06-14,57,66,25,44,169,33,77,104,21,24,84,80,21,168,35,9,61,4,97,26
2010-06-21,31,42,17,70,154,32,72,42,61,50,103,54,8,253,48,61,39,5,120,50
2010-06-28,43,25,12,24,68,29,36,35,23,7,44,20,15,97,26,8,19,7,43,11
2010-07-05,48,44,21,51,93,13,29,54,21,20,71,20,8,70,37,40,23,7,50,24
2010-07-12,16,34,8,26,74,11,49,48,7,12,19,18,3,56,31,10,4,4,33,6
2010-07-19,6,16,4,8,56,3,13,24,12,1,16,2,4,37,12,9,17,10,40,9
2010-07-26,6,19,2,12,35,16,3,21,9,4,10,1,2,26,19,9,7,2,33,5
2010-08-02,3,3,2,6,24,6,3,10,4,0,7,3,3,7,2,1,7,0,5,6
2010-08-09,4,2,0,7,11,4,10,5,3,0,8,2,7,8,12,1,0,0,12,3
2010-08-16,4,7,2,5,35,15,4,1,3,1,5,2,1,4,6,0,0,1,4,4
2010-08-23,0,1,5,13,11,0,1,0,0,2,8,3,1,1,1,1,2,0,4,6
2010-08-30,2,0,1,6,22,1,2,1,1,0,3,0,2,8,4,1,3,2,0,3
2010-09-06,1,1,1,1,8,0,1,0,3,0,2,2,2,6,4,0,4,0,2,4
2010-09-13,1,2,1,4,5,2,3,0,3,2,2,0,2,3,3,4,0,6,0,0
2010-09-20,13,0,2,2,23,1,2,2,0,1,6,1,1,12,5,2,2,2,3,18
2010-09-27,4,10,3,1,27,8,0,2,2,2,16,3,0,18,7,0,0,15,4,1
2010-10-04,10,5,5,4,33,4,2,1,3,8,6,6,2,46,14,1,8,10,8,24
2010-10-11,31,9,5,8,74,10,1,2,1,10,42,4,3,36,29,12,14,3,12,11
2010-10-18,3,23,18,9,57,5,5,4,1,3,53,19,9,36,24,9,0,12,8,35
2010-10-25,30,43,45,22,95,8,4,0,3,2,45,11,1,56,63,5,16,9,15,60
2010-11-01,2,16,12,7,73,8,7,3,15,20,43,18,8,58,20,3,3,23,8,29
2010-11-08,25,44,36,32,171,20,5,3,36,26,65,23,22,108,67,6,3,9,20,33
2010-11-15,24,28,30,25,206,3,17,5,28,12,65,23,5,75,33,6,55,51,39,75
2010-11-22,14,29,61,35,144,31,12,8,10,32,79,8,13,118,26,2,13,20,25,31
2010-11-29,49,18,86,15,155,37,24,4,26,10,55,27,12,85,38,26,39,30,43,22
2010-12-06,49,52,24,25,191,26,6,17,20,18,98,30,16,115,15,15,12,41,91,49
2010-12-13,54,45,46,20,125,44,10,26,45,13,97,23,17,114,12,28,17,20,63,35
2010-12-20,24,36,78,53,157,28,24,8,15,10,94,19,11,74,20,18,34,7,45,58
2010-12-27,20,41,28,36,121,13,35,20,26,10,105,42,8,93,11,42,9,7,104,71
2011-01-03,35,35,26,25,59,16,30,38,25,7,68,18,29,155,4,17,1,27,68,16
2011-01-10,41,38,149,93,333,72,26,52,35,22,90,63,13,240,27,14,32,115,55,86
2011-01-17,15,18,95,66,145,24,29,27,25,5,152,55,19,86,13,67,7,3,38,56
2011-01-24,28,51,34,65,208,65,22,86,34,6,107,39,9,93,22,52,38,50,70,41
2011-01-31,23,31,76,61,174,24,20,57,28,17,67,24,11,108,15,40,8,27,60,43
2011-02-07,31,28,47,79,128,42,64,76,43,8,101,34,18,145,28,62,41,44,69,21
2011-02-14,17,53,76,63,190,58,41,42,46,41,136,41,5,77,16,38,43,9,88,46
2011-02-21,32,46,102,164,228,72,54,67,55,22,82,61,14,189,24,102,43,30,98,35
2011-02-28,46,37,44,93,149,53,69,41,24,30,135,28,4,142,26,48,47,10,42,46
2011-03-07,45,43,55,173,181,10,57,63,47,38,161,51,6,140,41,125,39,34,132,35
2011-03-14,24,51,37,95,131,36,61,51,59,25,112,55,6,120,43,56,11,31,153,42
2011-03-21,29,58,43,192,227,22,73,48,56,82,106,74,29,312,82,184,53,17,90,43
2011-03-28,19,38,54,144,158,150,96,38,58,57,89,28,2,199,37,97,36,25,75,49
2011-04-04,34,37,42,171,168,133,67,60,62,63,87,52,7,143,45,66,14,14,116,41
2011-04-11,48,53,38,109,181,78,114,55,83,57,79,39,10,145,57,88,13,27,74,54
2011-04-18,28,41,37,72,138,14,54,60,92,30,58,37,2,106,41,40,33,2,73,22
